key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code
13101,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-83169,Raphinha,not applicable,11,forward,FW
13102,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-66020,Weverton,not applicable,12,goal keeper,GK
13103,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-09441,Alves,Dani,13,defender,DF
13104,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-55590,Militão,Éder,14,defender,DF
13105,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-77071,Fabinho,not applicable,15,midfielder,MF
13106,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-26953,Telles,Alex,16,defender,DF
13107,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-74688,Guimarães,Bruno,17,midfielder,MF
13108,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-92004,Jesus,Gabriel,18,forward,FW
13109,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-37860,Antony,not applicable,19,forward,FW
13110,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-92812,Júnior,Vinícius,20,forward,FW
13111,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-06446,Rodrygo,not applicable,21,forward,FW
13112,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-42740,Ribeiro,Éverton,22,midfielder,MF
13113,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-89248,Ederson,not applicable,23,goal keeper,GK
13114,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-14060,Bremer,not applicable,24,defender,DF
13115,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-15197,Pedro,not applicable,25,forward,FW
13116,WC-2022,2022 FIFA Men's World Cup,T-09,Brazil,BRA,P-70483,Martinelli,Gabriel,26,forward,FW
13117,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-22927,Ngapandouetnbu,Simon,1,goal keeper,GK
13118,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-32773,Ngom Mbekeli,Jerome,2,defender,DF
13119,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-93209,Nkoulou,Nicolas,3,defender,DF
13120,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-74894,Wooh,Christopher,4,defender,DF
13121,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-36707,Ondoua,Gaël,5,midfielder,MF
13122,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-27913,Ngamaleu,Moumi,6,forward,FW
13123,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-68058,Nkoudou,Georges-Kévin,7,midfielder,MF
13124,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-38355,Zambo Anguissa,André-Frank,8,midfielder,MF
13125,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-39239,Nsame,Jean-Pierre,9,forward,FW
13126,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-53452,Aboubakar,Vincent,10,forward,FW
13127,WC-2022,2022 FIFA Men's World Cup,T-11,Cameroon,CMR,P-51549,Bassogog,Christian,11,forward,FW
