key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code,full_name,name_norm,team_norm,has_stats,image_count,folder_path,has_image
13071,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-48955,De Bruyne,Kevin,7,midfielder,MF,Kevin De Bruyne,kevin de bruyne,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Kevin De Bruyne,True
13072,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-47906,Tielemans,Youri,8,midfielder,MF,Youri Tielemans,youri tielemans,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Youri Tielemans,True
13073,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-72637,Lukaku,Romelu,9,forward,FW,Romelu Lukaku,romelu lukaku,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Romelu Lukaku,True
13074,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-72011,Hazard,Eden,10,forward,FW,Eden Hazard,eden hazard,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Eden Hazard (captain),True
13075,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-06338,Carrasco,Yannick,11,forward,FW,Yannick Carrasco,yannick carrasco,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Yannick Carrasco,True
13076,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-10313,Mignolet,Simon,12,goal keeper,GK,Simon Mignolet,simon mignolet,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Simon Mignolet,True
13077,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-88715,Casteels,Koen,13,goal keeper,GK,Koen Casteels,koen casteels,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Koen Casteels,True
13078,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-84852,Mertens,Dries,14,forward,FW,Dries Mertens,dries mertens,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Dries Mertens,True
13079,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-22930,Meunier,Thomas,15,midfielder,MF,Thomas Meunier,thomas meunier,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Thomas Meunier,True
13080,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-74337,Hazard,Thorgan,16,midfielder,MF,Thorgan Hazard,thorgan hazard,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Thorgan Hazard,True
13081,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-95312,Trossard,Leandro,17,forward,FW,Leandro Trossard,leandro trossard,belgium,True,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Leandro Trossard,True
13082,WC-2022,2022 FIFA Men's World Cup,T-06,Belgium,BEL,P-21652,Onana,Amadou,18,midfielder,MF,Amadou Onana,amadou onana,belgium,False,50.0,data\raw\player-images\Images\Images\Group F\Belgium Players\Images_Amadou Onana,True
