group,image_team,image_player,name_norm,team_norm,image_count,folder_path
Group A,Qatar,Karim Boudiaf,karim boudiaf,qatar,50,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_Karim Boudiaf
Group A,Qatar,Khalid Muneer,khalid muneer,qatar,50,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_Khalid Muneer
Group A,Qatar,Meshaal Barsham,meshaal barsham,qatar,50,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_Meshaal Barsham
Group A,Qatar,Mohammed Muntari,mohammed muntari,qatar,50,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_Mohammed Muntari
Group A,Qatar,Mohammed Waad,mohammed waad,qatar,50,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_Mohammed Waad
Group A,Qatar,Mostafa Meshaal,mostafa meshaal,qatar,50,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_Mostafa Meshaal
Group A,Qatar,Musab Kheder,musab kheder,qatar,50,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_Musab Kheder
Group A,Qatar,Naif Al-Hadhrami,naif al hadhrami,qatar,50,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_Naif Al-Hadhrami
Group A,Qatar,Ró-Ró,ro ro,qatar,51,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_R├│-R├│
Group A,Qatar,Saad Al-Sheeb,saad al sheeb,qatar,50,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_Saad Al-Sheeb
Group A,Qatar,Salem Al-Hajri,salem al hajri,qatar,50,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_Salem Al-Hajri
Group A,Qatar,Tarek Salman,tarek salman,qatar,50,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_Tarek Salman
Group A,Qatar,Yousef Hassan,yousef hassan,qatar,50,data\raw\player-images\Images\Images\Group A\Qatar Players\Images_Yousef Hassan
Group A,Senegal,Abdou Diallo,abdou diallo,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Abdou Diallo
Group A,Senegal,Alfred Gomis,alfred gomis,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Alfred Gomis
Group A,Senegal,Bamba Dieng,bamba dieng,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Bamba Dieng
Group A,Senegal,Boulaye Dia,boulaye dia,senegal,50,data\raw\player-images\Images\Images\Group A\Senegal Players\Images_Boulaye Dia
