player_id,full_name,team,folder,ok
P-49114,Nicolás Otamendi,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Nicol├ís Otamendi,True
P-71343,Alexis Mac Allister,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Alexis Mac Allister,True
P-28151,Paulo Dybala,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Paulo Dybala,True
P-81505,Lautaro Martínez,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Lautaro Mart├¡nez,True
P-13162,Emiliano Martínez,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Emiliano Mart├¡nez,True
P-10739,Enzo Fernández,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Enzo Fern├índez,True
P-23070,Lisandro Martínez,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Lisandro Mart├¡nez,True
P-84430,Nahuel Molina,Argentina,data/raw/player-images/Images/Images/Group C/Argentina Players/Images_Nahuel Molina,True
P-10244,Mathew Ryan,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Mathew Ryan (captain),True
P-59727,Miloš Degenek,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Milo┼í Degenek,True
P-09062,Nathaniel Atkinson,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Nathaniel Atkinson,True
P-88273,Kye Rowles,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Kye Rowles,True
P-24134,Fran Karačić,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Fran Kara─ìi─ç,True
P-35837,Mathew Leckie,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Mathew Leckie,True
P-97422,Bailey Wright,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Bailey Wright,True
P-20087,Jamie Maclaren,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Jamie Maclaren,True
P-82945,Ajdin Hrustic,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Ajdin Hrustic,True
P-61979,Awer Mabil,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Awer Mabil,True
P-30596,Andrew Redmayne,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Andrew Redmayne,True
P-95847,Aaron Mooy,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Aaron Mooy,True
P-51406,Riley McGree,Australia,data/raw/player-images/Images/Images/Group D/Australia Players/Images_Riley McGree,True
